Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return
2020-01-17,301.01322758213286,301.58550157131737,296.08956345198163,301.3289794921875,1312600,0.0,0,0.0011145746888230335
2020-01-21,299.89826256883424,304.13122334626775,299.13851273155575,301.9209899902344,992400,0.0,0,0.0019646649951974293
2020-01-22,302.60179734726506,302.60179734726506,298.12219142643255,299.4739685058594,998000,0.0,0,-0.008104840555981707
2020-01-23,299.42463986113097,301.2993680105167,297.2835129591534,300.3521423339844,1089300,0.0,0,0.0029323878549658566
2020-01-24,300.78627855859696,301.51642851083835,291.49156120631466,293.3268127441406,1088700,0.0,0,-0.023390309572128065
2020-01-27,289.7253501426723,289.9029492985714,275.2405701564443,280.0162048339844,2399600,0.0,0,-0.045378081143119586
2020-01-28,281.21011833445004,289.7154862184735,280.35169226478445,286.4593811035156,1985900,0.0,0,0.02301001212894538
2020-01-29,275.78327851217443,278.57563262682504,268.54088762011423,269.2809143066406,4450400,0.0,0,-0.05996824656500721
2020-01-30,265.67942946092836,266.8437307663562,258.210086989077,262.354248046875,2738500,0.0,0,-0.025722826579079316
2020-01-31,262.14702469825943,264.9887317592314,260.49924894072,261.7523498535156,2206900,0.0,0,-0.002294219353565885
2020-02-03,262.57130251911354,267.050938845098,259.2954741682863,262.8870544433594,1925500,0.0,0,0.004335031148636315
2020-02-04,266.3109139391383,273.6815804719241,266.3109139391383,269.7347717285156,1413800,0.0,0,0.026048134244022414
2020-02-05,271.6982691844919,289.2813074050368,271.6982691844919,283.50909423828125,2448900,0.0,0,0.05106617297242377
2020-02-06,284.9398326626387,284.9398326626387,276.30618924433685,278.5755920410156,1759800,0.0,0,-0.017401565937490426
2020-02-07,275.9806185815458,278.0921456405868,272.60608379373645,272.8034362792969,1597500,0.0,0,-0.02072024946417017
2020-02-10,272.2113630206599,274.3327663796917,270.37608157214066,272.8724365234375,1149200,0.0,0,0.0002529302602698458
2020-02-11,273.3559747949061,276.2174050361062,270.13931611804634,276.18780517578125,1777100,0.0,0,0.012149884739490746
2020-02-12,282.46321980419845,292.7841461988896,282.46321980419845,292.0638427734375,2763300,0.0,0,0.057482761005873684
2020-02-13,290.81072924549767,295.5370107617236,290.64297663443676,294.8956604003906,1931300,0.0,0,0.009695885666853421
2020-02-14,295.3101030632448,296.8592025966038,291.53101686175546,293.8596496582031,1433800,0.0,0,-0.003513143397162466
2020-02-18,293.4945594381121,300.29292142847805,291.83687698141205,298.4280700683594,1972500,0.0,0,0.015546266442058032
2020-02-19,297.99393517231016,300.4705371693989,295.31995058265375,300.01666259765625,1338700,0.0,0,0.005323200759677071
2020-02-20,297.3723168509273,297.66831546920594,289.7845744475139,290.03125,1889500,0.0,0,-0.033282860062500585
2020-02-21,288.14666078582314,292.8433731955278,286.31140902948454,290.791015625,1111000,0.0,0,0.002619599181122645
2020-02-24,279.7202123540479,279.7300890123522,272.9020961654146,273.80987548828125,2518700,0.0,0,-0.05839637136044595
2020-02-25,275.4970966157145,275.7635254655606,260.97283988210137,263.8441467285156,1954900,0.0,0,-0.03639652785347458
2020-02-26,266.2516964723659,270.38598076449443,259.2165055382245,264.58416748046875,1733200,0.0,0,0.002804764711019203
