Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return
2020-01-17,523.6624837884041,525.7491135713681,519.9280104123624,521.8878784179688,669100,0.0,0,0.0004487072084258248
2020-01-21,518.7384021971918,520.8250316948174,514.5944233831291,515.9400024414062,775800,0.0,0,-0.011396846377410896
2020-01-22,519.2454668115622,526.1683254949278,518.0851503238503,523.4674072265625,778100,0.0,0,0.014589690176254777
2020-01-23,520.2887395837903,530.4293239945963,519.5867293386534,528.4207153320312,804500,0.0,0,0.009462495729605003
2020-01-24,530.8388023738015,533.6957030236669,519.46970062506,523.4479370117188,751200,0.0,0,-0.009410642270501923
2020-01-27,508.9781661907344,517.1003823262251,506.6477729475721,510.7430114746094,516500,0.0,0,-0.024271612587948632
2020-01-28,514.7895201063221,520.4545813430275,512.0496208062132,516.7493286132812,496600,0.0,0,0.01175995951727371
2020-01-29,521.1176007993466,528.6449888041491,519.0894718991248,523.106689453125,434700,0.0,0,0.012302601063660878
2020-01-30,517.792687275863,526.7827166673744,515.7158173643375,526.2269287109375,511000,0.0,0,0.005964823850894474
2020-01-31,524.5205501749618,525.641886077927,512.0788516358529,514.1947021484375,646400,0.0,0,-0.02286509090664468
2020-02-03,517.0028508068699,523.7502671718829,516.5835847385716,516.8566284179688,503100,0.0,0,0.005176883889330242
2020-02-04,524.7447794142379,526.8411692589327,518.1924452888503,521.8878784179688,851800,0.0,0,0.009734324227203883
2020-02-05,530.2733058224165,533.0424253972801,524.0621581183594,529.9222412109375,943000,0.0,0,0.01539480628928147
2020-02-06,534.3978582587262,541.3889788450284,527.8260037551024,540.8331909179688,824400,0.0,0,0.02058971837471546
2020-02-07,536.2796647733987,542.1397484504791,535.7921378054228,541.87646484375,712900,0.0,0,0.0019290123892183875
2020-02-10,539.6338956447929,547.2490651101886,539.4973737998769,547.102783203125,744100,0.0,0,0.009644852099051748
2020-02-11,549.9792291575687,557.0581311360941,549.8134866313371,556.2098388671875,598900,0.0,0,0.016645968442608572
2020-02-12,560.5000250340844,562.4208527023629,555.7904979077607,558.1988525390625,426300,0.0,0,0.0035760131031230546
2020-02-13,554.5034652032697,558.4621820882021,553.2163867734913,554.366943359375,479700,0.0,0,-0.00686477437611599
2020-02-14,551.6269987965824,554.7276631410095,548.6726163461418,551.822021484375,472400,0.0,0,-0.004590681146278586
2020-02-18,550.9054774733146,551.119960774616,548.2825799876734,550.72021484375,403200,0.0,0,-0.001996670298987313
2020-02-19,553.8111363669298,558.7059263538785,552.0658111803326,557.7991333007812,383200,0.0,0,0.012853928848498342
2020-02-20,555.7807094578119,558.6571302952382,546.6346993376587,552.7775268554688,475200,0.0,0,-0.009002535403016987
2020-02-21,549.3551110383759,550.759191084526,541.1549336349515,543.1050415039062,494200,0.0,0,-0.017497971392913536
2020-02-24,522.6776636914689,527.806457046377,514.4872461297464,514.8284912109375,1063700,0.0,0,-0.05206460653480305
2020-02-25,517.0321066935984,517.8803988521028,489.93534963404784,493.3772888183594,1064600,0.0,0,-0.04166669630525377
2020-02-26,495.4932012706931,505.03898820461774,492.8800339517478,495.78570556640625,959600,0.0,0,0.004881490904891539
2020-02-27,483.2757089020011,488.3654614793627,463.91112379122916,463.95013427734375,1286000,0.0,0,-0.06421236217912374
2020-02-28,447.79350460245223,453.79984021098767,437.8186924703032,451.459716796875,2039300,0.0,0,-0.026921896466145068
2020-03-02,455.48668298235305,476.00179515682333,450.0556257388301,475.7677917480469,1278200,0.0,0,0.05384328666938143
2020-03-03,476.15782785614067,491.4076854522517,464.3011686148475,470.04425048828125,1589800,0.0,0,-0.012030115024677102
2020-03-04,479.52492151699136,489.0350482619896,470.88916133083217,486.61822509765625,1175000,3.63,0,0.03526045599357497
2020-03-05,468.99302407136264,473.93475556414023,456.42745680333826,464.17901611328125,1022200,0.0,0,-0.04611255359347011
2020-03-06,444.10753531932926,450.9060852188698,432.7896710061187,442.5061340332031,1460300,0.0,0,-0.046690783787582846
2020-03-09,404.17085715095163,428.4472325392223,398.0403375803396,411.6571350097656,1478200,0.0,0,-0.06971428563546822
2020-03-10,433.58546648239246,450.9650422964095,426.6100822571961,450.9454040527344,1608300,0.0,0,0.09543930057725514
2020-03-11,437.1910862641866,440.1286077888736,414.7617230531178,423.40728759765625,1263400,0.0,0,-0.06106751772517849
2020-03-12,391.3891528863974,412.62975600555546,376.7014864833799,379.4425354003906,1669700,0.0,0,-0.10383560577503148
2020-03-13,407.82556865270755,411.8830995464657,381.1913136785615,406.5189208984375,1579400,0.0,0,0.07135832958072474
2020-03-16,361.9745416021805,369.96187948943276,347.7977694017477,351.0103759765625,1569300,0.0,0,-0.1365460303771272
2020-03-17,359.7836801808658,391.2516114386007,349.15357405105453,379.97308349609375,1609700,0.0,0,0.08251239707359859
2020-03-18,350.9023296436079,367.99698531042884,318.2947513483407,366.8081970214844,1969400,0.0,0,-0.03464689223110384
2020-03-19,360.8447217619745,407.86484944291715,345.1352974515633,390.38702392578125,1593700,0.0,0,0.06428107958262408
2020-03-20,393.97300206594986,395.338594463952,344.80127196677716,348.49530029296875,1363100,0.0,0,-0.10730818665934139
2020-03-23,348.4952992461738,348.4952992461738,320.55436801232116,321.67437744140625,1422800,0.0,0,-0.07696207905534169
2020-03-24,343.17039384744174,366.5134576723433,340.2132343853089,365.1773376464844,1319600,0.0,0,0.13523912147153316
2020-03-25,378.14570050475095,432.26896781142284,370.3843371029818,394.3365173339844,1951000,0.0,0,0.07984936818759558
2020-03-26,400.89928658575167,446.5243514271712,398.4529911523869,443.969970703125,1598200,0.0,0,0.125865729364099
2020-03-27,421.0199308215582,441.5924752829698,413.7301247877016,426.7181396484375,1044200,0.0,0,-0.038858103459937565
2020-03-30,430.31392055269555,448.2436672423912,426.8851731087583,447.3594665527344,1177300,0.0,0,0.04837227431039781
2020-03-31,443.9601675043512,450.5818831794779,429.32161139500124,432.24932861328125,1389200,0.0,0,-0.03377627851689147
2020-04-01,410.77292195114285,417.0508035622271,394.8473861158609,402.35333251953125,1163700,0.0,0,-0.06916377681756203
2020-04-02,401.0171694478753,426.25635864631494,399.062099955648,419.045166015625,649300,0.0,0,0.041485510736470665
2020-04-03,419.2220107741553,425.3820029189855,403.81717331991666,410.733642578125,612600,0.0,0,-0.019834433401362928
2020-04-06,434.253551386306,445.0310493695042,425.7946253754464,441.6317443847656,957900,0.0,0,0.07522661550852527
2020-04-07,460.76991362902714,460.8386924536192,434.2240756672215,435.34405517578125,831100,0.0,0,-0.014237403196058152
2020-04-08,437.9868197002039,447.64433735650874,433.8801785112186,443.0562744140625,772300,0.0,0,0.017715228097388902
2020-04-09,451.92784770031585,470.2898750413123,450.3853911113856,463.1474609375,1154600,0.0,0,0.04534680509830924
2020-04-13,460.63236953739624,461.9881579155971,441.36650275136475,444.451416015625,689100,0.0,0,-0.040367370003563385
2020-04-14,458.59868856884884,459.7776127510636,448.4696128110842,449.9924011230469,566300,0.0,0,0.01246702093357066
2020-04-15,434.7251135243704,443.0857884392883,432.27881798954957,435.2949523925781,590400,0.0,0,-0.032661548714574495
2020-04-16,437.37772388388623,454.7278264539256,437.03385975382577,450.935546875,764900,0.0,0,0.035931026529147925
2020-04-17,467.96143353970785,476.1845500444348,461.1137435143892,468.50177001953125,977200,0.0,0,0.03895506412449801
2020-04-20,459.6302809273688,466.90041879528513,456.0050311153769,462.538330078125,589500,0.0,0,-0.012728745808490038
2020-04-21,451.9966055880395,469.23862263816034,445.3748600863188,466.045654296875,1200700,0.0,0,0.007582775287309884
2020-04-22,475.8210734151567,479.3185995013575,467.19514762111424,472.559326171875,842800,0.0,0,0.013976467358819633
2020-04-23,472.87374362615395,476.2533804743998,461.07448701425875,462.93133544921875,512300,0.0,0,-0.020374141804905266
2020-04-24,467.67655161191385,467.67655161191385,461.39869989912563,466.80218505859375,517600,0.0,0,0.008361606382983
2020-04-27,472.6281357175572,489.40840072852956,468.68849406274245,487.9347229003906,613900,0.0,0,0.04527086315832962
2020-04-28,499.1542748182492,501.82654481500657,486.0778442409313,489.0350036621094,655700,0.0,0,0.002254975327802944
2020-04-29,501.70867963920165,506.9451346010211,491.8055485919314,502.4160461425781,638000,0.0,0,0.027362136412047322
2020-04-30,492.444153590776,499.02659295040615,489.07435095539995,493.2301330566406,580300,0.0,0,-0.018283478715428347
2020-05-01,482.79648924135665,483.8280516652304,474.67159345659815,475.66387939453125,526300,0.0,0,-0.035614721171328245
2020-05-04,470.59443057854804,475.22177034228986,464.8077748591728,473.0603942871094,634900,0.0,0,-0.005473371471333532
2020-05-05,479.54453896663716,485.06594332812193,476.37123880634164,476.97052001953125,525900,0.0,0,0.008265595217106236
2020-05-06,481.1361426475328,483.07157394044265,468.3053242223507,474.9172058105469,520900,0.0,0,-0.0043049080033296105
2020-05-07,486.1859452978377,493.9866154349069,484.67296104426157,488.6617431640625,537100,0.0,0,0.028940912616668868
2020-05-08,496.6588629585817,497.12061650916667,487.90521372220473,490.0273132324219,450500,0.0,0,0.0027945098781774202
2020-05-11,483.6315312047556,488.4553730848686,480.0652563968807,484.456787109375,699600,0.0,0,-0.011367787004159857
2020-05-12,464.53269761482966,465.03375765535964,443.42965094852593,446.4654235839844,3499000,0.0,0,-0.07842054139044063
2020-05-13,451.9180061989993,483.1501581668067,448.4892589178485,477.27508544921875,9666100,0.0,0,0.06900794605304705
2020-05-14,472.5593358610692,491.3634785027256,463.1769327655876,489.45751953125,11804100,0.0,0,0.02552497386400332
2020-05-15,486.3136325952673,506.54234119186754,481.9122378137967,504.7149353027344,5957000,0.0,0,0.031172093925732947
2020-05-18,509.8924619223137,519.5106430370106,505.5598760578121,507.3675537109375,5587200,0.0,0,0.0052556764673747924
2020-05-19,503.4672628748002,506.5325076441121,490.0764102781318,492.40484619140625,2099700,0.0,0,-0.029490863990202953
2020-05-20,500.61814820761253,503.99778487512475,494.6251860947536,499.8125305175781,1496400,0.0,0,0.015043889968727742
