Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return
2020-01-17,200.73409668786402,202.01241818250347,199.27178780558694,200.32736206054688,1263000,0.0,0,-0.0014000088232654084
2020-01-21,200.9084199720951,202.67093669046935,200.05620564233547,200.32736206054688,1183900,0.0,0,0.0
2020-01-22,200.84063945097003,201.8962137898747,199.8528468335503,200.99559020996094,952500,0.0,0,0.0033356808702551533
2020-01-23,201.13115388186515,202.53535993847308,200.06588596200172,201.66378784179688,1101600,0.0,0,0.0033244392632592046
2020-01-24,202.19640133544524,203.16482131646583,201.6153582129826,202.6322021484375,1245500,0.0,0,0.004802122964189914
2020-01-27,202.2835719423988,207.42587971743154,201.78966829099852,206.26377868652344,1719900,0.0,0,0.01792201091229151
2020-01-28,206.28314133436564,207.10630425492502,205.2372459486931,206.47683715820312,1406700,0.0,0,0.0010329417653280881
2020-01-29,207.02884035941722,208.37494365898877,204.9661008918966,206.8351593017578,921100,0.0,0,0.0017354108503713217
2020-01-30,206.4284102451507,211.96777381385172,206.32188345433272,211.8709259033203,1559200,0.0,0,0.024346762990211213
2020-01-31,211.1543009205512,213.39136364569944,209.3530390388597,210.25367736816406,1634600,0.0,0,-0.007633178211031266
2020-02-03,211.11555774900688,211.54166490877023,207.39682853511732,207.79388427734375,1661800,0.0,0,-0.011699167984173253
2020-02-04,209.64356303812673,211.54167279045197,208.00693083029233,208.73324584960938,1649300,0.0,0,0.004520641093612943
2020-02-05,209.39176507763938,210.05028355797353,204.71429489438637,206.6898651123047,1870400,0.0,0,-0.009789435932869628
2020-02-06,206.4380708658668,207.79386760880314,203.63933791128974,205.91513061523438,1280000,0.0,0,-0.0037482945603034556
2020-02-07,206.031361768216,208.46209072837652,205.9442075118129,206.46714782714844,1163100,0.0,0,0.00268079965889223
2020-02-10,206.9513552821174,208.21030426327872,205.4406224154905,206.63177490234375,1042700,0.0,0,0.0007973523968720642
2020-02-11,206.844832207252,208.34588622035469,204.62715682382,204.96609497070312,1269900,0.0,0,-0.00806110256966941
2020-02-12,201.52821286709613,203.3682050015818,197.56736373922757,201.08273315429688,2374400,0.0,0,-0.018946361918839916
2020-02-13,201.14084580716832,203.61031994379644,200.33705537494487,201.73158264160156,1094200,0.0,0,0.0032267787349340438
2020-02-14,201.6444223333131,206.5058950818326,201.45074128029083,206.3993682861328,1054500,0.0,0,0.02313859626444348
2020-02-18,203.51346125634035,207.38714133565716,203.51346125634035,206.63177490234375,1240400,0.0,0,0.0011260044938159464
2020-02-19,206.75767906832408,207.5517905960735,200.80190171787225,200.94715881347656,1854500,0.0,0,-0.027510851569434558
2020-02-20,201.4120029188864,202.6806308519347,198.22590737622764,202.39979553222656,1604200,0.0,0,0.007228948780999556
2020-02-21,202.1867444973179,203.9880064494628,200.9471679686287,202.23516845703125,2869500,0.0,0,-0.0008133756991325347
2020-02-24,200.73409509256612,205.518092225288,199.7366236813049,202.6903076171875,2604800,0.0,0,0.0022505440751416916
2020-02-25,203.03896665054566,204.54969967898114,200.3564387707672,201.7412872314453,2754000,0.0,0,-0.00468212021037806
2020-02-26,206.23473606686056,215.27008194203168,204.97578707262235,213.22671508789062,4404600,0.0,0,0.05693146908133273
2020-02-27,213.43977484540434,218.24314483431974,203.59094463002162,203.7458953857422,3940600,0.0,0,-0.04446356404374807
2020-02-28,199.649490230439,202.23517010954794,189.74254202423086,192.54129028320312,4751200,0.0,0,-0.054993034737342406
2020-03-02,192.19265208155306,203.6877934933766,192.10548304548172,202.7871551513672,3768500,0.0,0,0.053213857937140396
2020-03-03,202.77746757287733,211.88060985801854,202.11894905162532,209.24652099609375,3753700,0.0,0,0.031852933879885414
2020-03-04,210.82504098621627,217.46840309056523,208.02630764531673,216.56777954101562,2348400,0.0,0,0.03498867512859882
2020-03-05,212.08398978730148,216.75178149563175,209.81789042918496,214.81494140625,2800800,0.0,0,-0.00809371614965304
2020-03-06,210.59262733828285,213.52693886253255,206.0216835903795,209.43051147460938,2771300,0.0,0,-0.025065434910590323
2020-03-09,197.79280399627615,206.9513167229564,196.69416640475654,199.2220001220703,3294200,0.85,0,-0.04874414563885887
2020-03-10,202.61511744937545,206.58186444747483,194.1760685675568,201.26370239257812,2730800,0.0,0,0.010248377534894715
2020-03-11,195.80941882176703,197.4038941796966,187.02036278822936,189.2759552001953,2816900,0.0,0,-0.05956239028635135
2020-03-12,173.4575950928226,182.63555646015627,166.4963429735892,167.52691650390625,4187500,0.0,0,-0.11490650607619612
2020-03-13,175.26596627122115,179.0479848303972,160.18649223770544,176.95765686035156,4385600,0.0,0,0.05629388132518631
2020-03-16,158.47535013087693,163.7837947670551,144.25145352829932,144.41673278808594,5752400,0.0,0,-0.18389102031310078
2020-03-17,149.5015576560824,163.75460467839434,145.73897351562456,161.41151428222656,3602600,0.0,0,0.11767875623580548
2020-03-18,151.66966264169906,154.68361700007998,133.6734791650868,139.00135803222656,4677300,0.0,0,-0.1388386469803886
2020-03-19,141.42224490395367,153.93498735800762,128.1414234126429,150.91131591796875,4223800,0.0,0,0.08568231313956609
2020-03-20,150.85297194920662,159.32118582932523,136.29851770245287,154.01275634765625,5123400,0.0,0,0.020551410679987336
2020-03-23,153.43913497729758,153.43913497729758,132.92483682568226,135.6665496826172,3848600,0.0,0,-0.11912134488149662
2020-03-24,143.113923669905,149.00570387384985,140.6541542426505,148.03346252441406,3172100,0.0,0,0.0911566843170144
2020-03-25,147.78068690025216,156.13223663238458,142.28752914364233,151.99049377441406,4155600,0.0,0,0.026730653884066147
2020-03-26,153.61413782167253,172.0672750339823,152.65161351615913,169.98667907714844,3594300,0.0,0,0.1184033609986459
2020-03-27,162.36430782679537,173.37980426377453,159.60314591282983,166.58383178710938,2339200,0.0,0,-0.02001831736764903
2020-03-30,170.04500667662012,171.9894893822886,166.13660711958894,169.1602783203125,2299700,0.0,0,0.015466366126670517
2020-03-31,167.36162999582498,169.95751269145038,162.22819671354142,168.11026000976562,2546300,0.0,0,-0.00620723919925581
2020-04-01,159.90454386979252,162.9670983385193,158.03784216639767,161.58651733398438,2333300,0.0,0,-0.03880633267358147
2020-04-02,161.9073662200405,164.7754755081457,158.29062686740528,163.8907470703125,2335300,0.0,0,0.014260037126522684
2020-04-03,162.38375787206223,170.0255756384149,161.48929759133412,168.91722106933594,1747200,0.0,0,0.030669663107136813
2020-04-06,174.77983449643827,178.89241132020805,173.42841959128705,177.37571716308594,2359700,0.0,0,0.05007480019031352
2020-04-07,182.12997607735278,184.22028907103066,171.3283739548717,171.90199279785156,2448700,0.0,0,-0.03085949110047359
2020-04-08,174.87704652738515,176.81181215069586,171.289473579426,175.94651794433594,1685000,0.0,0,0.023528087607690207
2020-04-09,176.82153462106066,185.73698627464677,176.82153462106066,184.8814239501953,3187700,0.0,0,0.05078194277585024
2020-04-13,182.37304639990847,183.3452878148764,176.18959040730348,177.6090545654297,1290300,0.0,0,-0.03933531681757663
2020-04-14,178.62020054170904,183.89946449905523,178.62020054170904,182.84945678710938,1905500,0.0,0,0.029505265001842362
2020-04-15,178.8340902881191,181.79942960473048,178.3479695750755,179.84521484375,1648000,0.0,0,-0.01643013873898025
2020-04-16,181.32301502568026,183.01472034568965,179.09658882176515,182.1396942138672,1200600,0.0,0,0.012758078507179915
2020-04-17,184.21057503340265,186.92312194988887,182.78137902125877,186.30088806152344,1597100,0.0,0,0.022846166869975093
2020-04-20,186.8064525951176,186.93284871802481,175.16872243636936,179.4951934814453,2660200,0.0,0,-0.036530660969424034
2020-04-21,174.51732800798578,177.52155031686118,166.18521224625027,173.0784149169922,2532600,0.0,0,-0.035749027258027644
2020-04-22,176.37431692472603,177.35627540355782,172.40757021022714,174.41038513183594,1794300,0.0,0,0.0076957615742121455
2020-04-23,173.82702721530262,176.928479544974,172.7284045602093,173.525634765625,1348500,0.0,0,-0.005072807823583214
2020-04-24,176.25762116757036,178.5229452078752,174.26453834340728,177.64793395996094,1483600,0.0,0,0.023756139546204702
2020-04-27,179.45631149715402,183.57862019247705,178.35767401621547,182.53831481933594,2104600,0.0,0,0.027528498363944998
2020-04-28,183.26749880542363,186.67034361082938,178.0951675802984,179.2035369873047,2140200,0.0,0,-0.018268919789972804
2020-04-29,181.48830000829764,185.4647637661862,176.09235728164282,176.43264770507812,2394400,0.0,0,-0.015462246609690866
2020-04-30,175.32428473575536,175.71317534235277,169.61723274843573,173.2631378173828,2413200,0.0,0,-0.017964418314423414
2020-05-01,170.57974938802786,172.03811147712793,166.94357607374982,168.8297119140625,2457100,0.0,0,-0.025587819539509282
2020-05-04,169.70473948323095,170.14224514656254,165.932438100709,167.7699737548828,2274600,0.0,0,-0.006276964801782747
2020-05-05,170.22974571278493,175.68402064180924,168.57693827509837,173.5548095703125,1678200,0.0,0,0.03448075770627179
2020-05-06,174.546495497931,175.3923407596584,168.59638294051527,168.87832641601562,1575700,0.0,0,-0.026945281239251884
2020-05-07,171.68808724699147,177.41458789858984,169.95749892343372,173.5353546142578,1716900,0.0,0,0.0275762337126082
2020-05-08,175.4506914607798,176.76320846377732,174.7506764584238,176.49098205566406,1445600,0.0,0,0.01703184603492547
2020-05-11,174.00205609178113,179.9716180905186,173.4284371881695,179.05770874023438,1950200,0.0,0,0.014543103872359797
2020-05-12,180.47717618596565,181.2160743107445,174.1673241468134,174.20620727539062,1307700,0.0,0,-0.027094624961844005
2020-05-13,170.7839224505103,174.0895371712428,169.60750386644153,173.02008056640625,1508700,0.0,0,-0.006808751120500056
2020-05-14,171.64923340493095,175.87847487142295,170.75477303844144,175.509033203125,1505500,0.0,0,0.014385339716469936
2020-05-15,174.65343411461697,176.89930924140137,172.68950244956358,176.0437469482422,1802900,0.0,0,0.0030466451518671445
2020-05-18,180.16605242545404,182.03275414322616,178.5910260962896,180.6424560546875,1338800,0.0,0,0.026122535938736702
2020-05-19,179.72853253335072,180.82716998154316,174.35203917495681,174.7700958251953,1044600,0.0,0,-0.03250819523686277
2020-05-20,176.0243010560258,177.47293118673716,175.23678792868387,175.80068969726562,950700,0.0,0,0.0058968547634208335
2020-05-21,174.3617512226259,176.34513178281915,172.69922690696018,173.23394775390625,1807500,0.0,0,-0.014600295071534597
2020-05-22,172.9811843141007,174.0117578018628,171.1339316287036,173.83676147460938,999000,0.0,0,0.0034797666884522904
2020-05-26,177.0840352897903,179.78686500093698,175.7034543811289,177.40487670898438,1595700,0.0,0,0.02052566559631952
2020-05-27,179.58270253331466,180.72022310881715,167.2838408116848,171.6297607421875,3862800,0.0,0,-0.032553310111482436
2020-05-28,173.10757191882152,177.2201485943098,171.1922553102961,175.47984313964844,2497200,0.0,0,0.02243248712118362
2020-05-29,172.85478705518557,177.6965597706434,172.85478705518557,177.53128051757812,1761100,0.0,0,0.01169044456175583
2020-06-01,176.87987532314864,180.32161827525516,176.80210906415095,177.25906372070312,1442600,0.0,0,-0.0015333455382137151
2020-06-02,176.899325332145,177.20071780199729,171.45478222187435,173.81732177734375,2287800,0.0,0,-0.019416451103354215
2020-06-03,175.37292139697482,181.6924909624647,174.0506724021709,181.08969116210938,2197000,0.0,0,0.04183915222259249
2020-06-04,180.6132782140781,181.0118858894315,176.72431284700667,179.38824462890625,1634300,0.0,0,-0.009395601275171472
2020-06-05,182.9174920128603,188.54676305626705,182.41192234312976,186.80645751953125,3033100,0.0,0,0.041352837283015864
2020-06-08,186.96201231441614,187.50646509020558,182.82025471888483,186.42727661132812,2022500,0.0,0,-0.002029806213543095
2020-06-09,184.07375509876994,187.78471059771607,183.70265358836278,186.6226043701172,3099000,0.85,0,0.0010477423815844489
2020-06-10,185.67532721525347,186.51517832045258,183.53663574379982,184.27882385253906,2409400,0.0,0,-0.01255893156934973
2020-06-11,181.26122099173904,181.39794024297728,169.94277435315487,170.09901428222656,2928600,0.0,0,-0.07694758016069858
2020-06-12,173.56584468947642,173.76115577984626,168.04822815480307,170.62637329101562,3020300,0.0,0,0.0031003060835737006
2020-06-15,167.5306696133158,171.68109417286405,167.16932840114148,170.5580291748047,1967500,0.0,0,-0.00040054837299019486
2020-06-16,174.317797573895,174.94280196634406,170.13807790540207,171.98379516601562,2311100,0.0,0,0.00835941877441404
2020-06-17,173.14594427156104,175.1869729417215,171.12443628153423,174.1811065673828,1857200,0.0,0,0.01277626999244963
2020-06-18,173.45841806376393,174.92327356566832,171.60294038853064,172.1888885498047,1177600,0.0,0,-0.011437624073236785
2020-06-19,174.5033648893657,175.64595045434328,170.21622148520626,171.4076385498047,3059600,0.0,0,-0.004537168493157551
2020-06-22,170.4115284776994,171.4662262587237,168.56581108622711,170.98770141601562,1603300,0.0,0,-0.002449932437912028
2020-06-23,172.84319971166704,172.84319971166704,168.76112770868494,169.48379516601562,1770900,0.0,0,-0.00879540597098838
2020-06-24,167.27672503763054,167.9212650308459,162.0423074800236,163.54623413085938,2343300,0.0,0,-0.03503320792020381
2020-06-25,162.7747396884386,164.9232063913828,160.6946549642696,164.73765563964844,2982200,0.0,0,0.007284921692759738
2020-06-26,163.99546152891915,164.27867529207114,157.46221801384286,158.64385986328125,3176000,0.0,0,-0.036990909896744695
2020-06-29,160.23566488244336,160.264960800853,157.33524974964098,158.2141571044922,2464700,0.0,0,-0.0027085999997691346
2020-06-30,159.62043315226467,159.65950431402337,157.5696441983977,158.73175048828125,2676100,0.0,0,0.0032714732566392346
2020-07-01,157.9602467876589,166.13413546971415,157.7746960455582,164.94271850585938,2910800,0.0,0,0.03912870612509667
2020-07-02,166.73963799206703,167.32557130019418,161.01693476512804,161.39779663085938,1573900,0.0,0,-0.021491836118088914
2020-07-06,162.43295587401659,163.86851554929245,160.54816725968718,161.91537475585938,2149400,0.0,0,0.003206847527068568
2020-07-07,160.39191604107097,162.84310219997997,160.05011046574617,161.7298126220703,1630000,0.0,0,-0.0011460439385009291
2020-07-08,161.22200169164222,165.20641066068663,161.1536495131855,164.14195251464844,1521300,0.0,0,0.01491462738669469
2020-07-09,163.12631887295046,164.02477678609776,160.38215833535884,161.65170288085938,1338000,0.0,0,-0.015171317238759086
2020-07-10,162.51108415613976,162.97983377669186,160.18684183121255,160.7337188720703,1955200,0.0,0,-0.00567877722553678
2020-07-13,161.84700310059725,165.07944863815345,160.99739164787968,161.3294219970703,1512500,0.0,0,0.00370614908421385
2020-07-14,162.44272350739809,162.7161620386539,160.21614409501078,161.68099975585938,1579800,0.0,0,0.002179253817666593
2020-07-15,164.36656884581515,165.19665968271997,162.39389237897186,164.8743896484375,1659500,0.0,0,0.019751176065216036
2020-07-16,164.11267403477936,164.68884704830876,161.7005437292898,163.2923583984375,1366100,0.0,0,-0.009595372897958088
2020-07-17,163.6145989897157,164.22984311287192,162.27670230415424,162.71615600585938,1583900,0.0,0,-0.003528654973383283
2020-07-20,161.1927147854502,164.50328798804867,161.1927147854502,163.96617126464844,1127600,0.0,0,0.007682182823591566
2020-07-21,165.08922647189752,166.5443068079111,163.91734499081122,164.27867126464844,1429400,0.0,0,0.001905880936230453
2020-07-22,163.54624579360362,166.44666106862525,163.11655243415126,166.3197021484375,1230900,0.0,0,0.012424198881551884
2020-07-23,166.8372739573434,167.65758946982237,164.5228070109631,164.98179626464844,1415300,0.0,0,-0.008044181576245313
2020-07-24,165.0403919813368,165.87048275358973,163.88804610118268,164.79624938964844,1245200,0.0,0,-0.0011246505929803918
2020-07-27,163.85874513146786,165.28454450920444,162.75523068356924,163.57554626464844,1651500,0.0,0,-0.0074073477371061625
2020-07-28,164.05406772658085,164.4153940080783,160.91927016946678,162.11068725585938,1855500,0.0,0,-0.00895524448635543
2020-07-29,161.55402376160953,163.84897001498544,159.97198458344957,161.0169219970703,2170200,0.0,0,-0.006747027461938893
2020-07-30,159.16142691676345,160.47980281205486,157.9016577578712,159.27862548828125,2631500,0.0,0,-0.010795738033178237
2020-07-31,160.1575521000715,162.41342743142224,159.40558868919385,162.28646850585938,1845200,0.0,0,0.018884159807113665
2020-08-03,162.18882329289892,162.68686886152616,158.53644441911788,159.1809844970703,2226100,0.0,0,-0.019135816050350085
2020-08-04,158.71221386719404,160.15753378016868,158.3313520353534,159.30792236328125,1839200,0.0,0,0.0007974436557984799
2020-08-05,160.30401964978998,160.73371299511913,158.97588335571854,159.34698486328125,1110900,0.0,0,0.00024520123933902127
2020-08-06,158.67313973746118,160.54815294381058,158.39970124286526,160.12823486328125,1808100,0.0,0,0.00490282260860031
2020-08-07,159.8450285216745,164.09311552558356,158.35087707092714,163.22396850585938,1903400,0.0,0,0.019332840615031266
2020-08-10,163.6439188568842,164.3372755375883,159.98177963810394,161.46615600585938,1991500,0.0,0,-0.010769328279975565
2020-08-11,162.82358272051144,165.29430470263642,161.89584379740177,164.18101501464844,1966800,0.0,0,0.01681379600496924
2020-08-12,165.8997778563278,168.204484506579,165.4798448520235,165.9779052734375,1568000,0.0,0,0.010944567851701725
2020-08-13,165.11852104948335,166.49548885667846,163.80014508067416,165.5970458984375,1166000,0.0,0,-0.0022946390025381236
2020-08-14,165.14782219478502,168.20449233841865,165.118526274665,167.42323303222656,1085800,0.0,0,0.011027896807465298
2020-08-17,167.22792903049302,170.73381336566064,167.03260301969124,170.5189666748047,1927200,0.0,0,0.018490466266305017
2020-08-18,170.997485595854,172.07170411138907,168.38026913546426,169.73770141601562,1366700,0.0,0,-0.004581691257131593
2020-08-19,170.67521362228132,170.73380546229663,167.22792128941833,168.16542053222656,1308100,0.0,0,-0.009263003273123793
2020-08-20,166.9935354998148,169.85487956950647,166.55408180770317,169.12245178222656,1051700,0.0,0,0.005691010952020292
2020-08-21,169.7181624607221,170.2455188189581,168.350969867669,169.78652954101562,1223600,0.0,0,0.003926609103586998
2020-08-24,170.0306707878891,171.40763861076778,168.95643740097353,171.1049041748047,994100,0.0,0,0.00776489535037328
2020-08-25,171.05606804216217,172.23770983448335,169.92324284687552,170.82168579101562,1152800,0.0,0,-0.0016552324151954956
2020-08-26,170.2845700110206,171.83732821848153,169.43495856071118,171.15371704101562,1373400,0.0,0,0.0019437300859224127
2020-08-27,171.72990838381938,174.07367135032374,171.19279169112167,172.3158416748047,1339500,0.0,0,0.006789946802677749
2020-08-28,173.3021809241078,173.64397160595075,171.20254573015416,172.8822479248047,1220100,0.0,0,0.003287023668252953
2020-08-31,173.32169900249684,173.32169900249684,171.6029405761773,171.74942016601562,1374100,0.0,0,-0.006552597345227618
2020-09-01,171.07558177184703,171.87637658811084,167.97985564077166,169.70838928222656,1340300,0.0,0,-0.011883771612248628
2020-09-02,168.6439470853874,171.5345871645244,167.1497955448893,168.66348266601562,2407000,0.0,0,-0.006157071083110921
2020-09-03,169.57166895018779,172.11075773044323,166.97398833522004,167.8626708984375,1812400,0.0,0,-0.004747985485179851
2020-09-04,168.91737541279053,169.29823725500066,162.79427511761452,165.64585876464844,2038800,0.0,0,-0.013206105454680372
2020-09-08,164.66927356030902,165.8216342233849,162.4329342067027,163.0872344970703,1672600,0.0,0,-0.015446352155494836
2020-09-09,163.568222705079,166.4343947678841,163.33264137946637,164.9129638671875,1241400,0.85,0,0.011194802436544915
2020-09-10,163.50933398469022,165.4135752119458,160.66278241597806,160.91799926757812,2055500,0.0,0,-0.024224684984903377
2020-09-11,160.77075713464586,161.4873114041338,159.05301590185803,160.2014617919922,2143800,0.0,0,-0.004452811238315646
2020-09-14,161.5658254402466,163.92157866356786,160.83946095725761,163.01853942871094,970600,0.0,0,0.017584593830838324
2020-09-15,163.9510290541398,165.57060756841085,163.23448980005472,165.00131225585938,1479800,0.0,0,0.012162867083075124
2020-09-16,166.0123233353624,167.73006446614627,165.24670277241415,167.06259155273438,1885400,0.0,0,0.012492502445548226
2020-09-17,165.69821681154406,167.85765983379775,164.90315044686324,167.56320190429688,1615600,0.0,0,0.0029965436721031136
2020-09-18,169.03556087497398,169.31039827615587,165.31541573163008,165.93380737304688,2325100,0.0,0,-0.009724059415984532
2020-09-21,163.68599721125227,165.7178467210905,161.7915813672129,164.59886169433594,1900700,0.0,0,-0.00804504940762163
2020-09-22,164.37310743001274,165.77674012018664,161.37932706939762,163.51913452148438,1160300,0.0,0,-0.006559748723272696
2020-09-23,160.34867640694227,164.14733331453183,159.05300166101225,159.3572998046875,1579300,0.0,0,-0.025451667959079494
2020-09-24,159.15117534322488,162.22348296506297,158.67020241578402,160.90817260742188,1258800,0.0,0,0.009732047447058578
2020-09-25,160.62350983731474,163.91176295592936,160.22106405694444,163.70562744140625,1337700,0.0,0,0.017385411745427737
