Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return
2020-01-17,236.19000244140625,236.80999755859375,230.25999450683594,230.7899932861328,530700,0,0,-0.015443071197569824
2020-01-21,230.6999969482422,235.97000122070312,229.8000030517578,231.6199951171875,1049500,0,0,0.0035963510342740257
2020-01-22,233.72999572753906,239.32000732421875,233.72999572753906,235.64999389648438,524300,0,0,0.01739918342221669
2020-01-23,236.02999877929688,237.7899932861328,231.69000244140625,235.60000610351562,582900,0,0,-0.0002121272831040466
2020-01-24,237.77000427246094,238.6999969482422,233.08999633789062,233.94000244140625,533900,0,0,-0.00704585576869643
2020-01-27,229.00999450683594,236.42999267578125,226.72999572753906,235.4499969482422,558800,0,0,0.006454622942111632
2020-01-28,235.85000610351562,237.77000427246094,233.83999633789062,234.94000244140625,719000,0,0,-0.0021660416795334925
2020-01-29,236.27000427246094,240.22000122070312,232.5800018310547,238.5399932861328,637700,0,0,0.015323022079325899
2020-01-30,237.85000610351562,239.77000427246094,232.0,238.92999267578125,459600,0,0,0.00163494340833914
2020-01-31,238.82000732421875,247.33999633789062,238.00999450683594,240.75,1000100,0,0,0.007617324655797564
2020-02-03,241.0399932861328,243.83999633789062,236.4499969482422,237.08999633789062,637700,0,0,-0.015202507423091927
2020-02-04,238.91000366210938,245.25999450683594,237.6699981689453,243.6999969482422,685500,0,0,0.02787971113269272
2020-02-05,244.33999633789062,244.33999633789062,237.0,238.5399932861328,575700,0,0,-0.021173589358744582
2020-02-06,241.72000122070312,242.4199981689453,237.13999938964844,239.0,478100,0,0,0.0019284259529404046
2020-02-07,239.3300018310547,240.99000549316406,235.00999450683594,240.22000122070312,525800,0,0,0.005104607618004797
2020-02-10,240.58999633789062,247.42999267578125,240.07000732421875,246.9199981689453,570900,0,0,0.027891086979416668
2020-02-11,247.08999633789062,248.0399932861328,242.5399932861328,247.9199981689453,517100,0,0,0.004049894732770065
2020-02-12,248.00999450683594,250.67999267578125,243.44000244140625,246.0,786700,0,0,-0.007744426359816758
2020-02-13,244.02000427246094,254.6999969482422,242.27000427246094,252.2100067138672,1124900,0,0,0.025243929731167514
2020-02-14,283.79998779296875,295.0,275.8999938964844,283.9100036621094,3359600,0,0,0.1256888945893646
2020-02-18,284.3999938964844,298.0,281.3800048828125,296.0,1741800,0,0,0.042583903990502936
2020-02-19,298.260009765625,301.6700134277344,288.489990234375,291.67999267578125,1493400,0,0,-0.014594619338576864
2020-02-20,292.3299865722656,306.7099914550781,287.2300109863281,302.510009765625,2169300,0,0,0.037129790735705104
2020-02-21,305.8399963378906,305.9700012207031,286.260009765625,291.25,1386000,0,0,-0.03722194109989585
2020-02-24,278.19000244140625,295.0299987792969,275.0,294.04998779296875,1267500,0,0,0.009613691993025641
2020-02-25,297.44000244140625,301.8299865722656,278.7099914550781,283.9599914550781,1116500,0,0,-0.03431388116565637
2020-02-26,284.7099914550781,297.8399963378906,275.1000061035156,278.25,1318900,0,0,-0.02010843649423566
2020-02-27,273.5400085449219,293.9700012207031,270.010009765625,281.4800109863281,1241200,0,0,0.011608305431547672
2020-02-28,276.7300109863281,278.739990234375,266.6700134277344,276.0,1739200,0,0,-0.019468561789257155
2020-03-02,278.1000061035156,286.5,277.1000061035156,285.7300109863281,1533400,0,0,0.03525366299394239
2020-03-03,286.3399963378906,288.8800048828125,268.20001220703125,272.8800048828125,1162800,0,0,-0.044972546142975856
2020-03-04,277.82000732421875,284.20001220703125,273.0,283.8699951171875,997400,0,0,0.040274076655395064
2020-03-05,281.94000244140625,291.8500061035156,279.2200012207031,286.9700012207031,761300,0,0,0.010920513463340331
2020-03-06,285.6400146484375,287.8699951171875,276.3599853515625,286.55999755859375,840400,0,0,-0.001428733527425563
2020-03-09,261.7799987792969,278.9800109863281,260.0,266.5199890136719,1256200,0,0,-0.06993302873972929
2020-03-10,271.6499938964844,281.79998779296875,263.5400085449219,279.17999267578125,1515000,0,0,0.04750114131762162
2020-03-11,271.30999755859375,273.0,245.02000427246094,252.4199981689453,2018900,0,0,-0.09585212124392095
2020-03-12,218.50999450683594,255.0,215.0,247.63999938964844,1719400,0,0,-0.018936688114931433
2020-03-13,256.32000732421875,259.0,220.0,244.02000427246094,1599100,0,0,-0.014617974180704207
2020-03-16,215.0,218.89999389648438,202.0,202.3000030517578,1977400,0,0,-0.17096959466536432
2020-03-17,205.25,207.2100067138672,182.07000732421875,198.74000549316406,2553200,0,0,-0.017597614952496787
2020-03-18,189.52999877929688,225.0,187.0,191.16000366210938,1699400,0,0,-0.03814029194698498
2020-03-19,191.22000122070312,219.64999389648438,191.16000366210938,206.24000549316406,1418800,0,0,0.07888680446831242
2020-03-20,208.30999755859375,223.3300018310547,203.32000732421875,209.5,1441000,0,0,0.015806799941847416
2020-03-23,209.5500030517578,221.49000549316406,196.57000732421875,210.3000030517578,1362900,0,0,0.003818630318653149
2020-03-24,216.77000427246094,239.2100067138672,216.0,236.2100067138672,1306500,0,0,0.12320496094207178
2020-03-25,239.6699981689453,254.0,237.00999450683594,239.3300018310547,1046000,0,0,0.013208564533707001
2020-03-26,243.9499969482422,253.5,239.2100067138672,250.2100067138672,1557200,0,0,0.045460263233076725
2020-03-27,246.02999877929688,270.0,240.61000061035156,262.9599914550781,1514700,0,0,0.05095713360413856
2020-03-30,265.30999755859375,280.9700012207031,255.07000732421875,278.0,1257800,0,0,0.0571950450017078
2020-03-31,272.6300048828125,277.0799865722656,263.0299987792969,269.2699890136719,2002600,0,0,-0.03140291721700761
2020-04-01,255.50999450683594,263.94000244140625,252.17999267578125,254.80999755859375,1091900,0,0,-0.05370071692001266
2020-04-02,250.0,270.9700012207031,250.0,266.3800048828125,1138200,0,0,0.04540641040412163
2020-04-03,263.6199951171875,272.4800109863281,257.07000732421875,260.75,1081300,0,0,-0.021135238304726633
2020-04-06,272.3699951171875,272.3699951171875,261.0,269.30999755859375,2515500,0,0,0.03282837031100194
2020-04-07,272.9700012207031,280.0,250.00999450683594,250.7100067138672,1346200,0,0,-0.06906535595909236
2020-04-08,255.3800048828125,260.3900146484375,250.25999450683594,258.010009765625,1142700,0,0,0.029117318241266732
2020-04-09,259.95001220703125,276.6199951171875,258.6000061035156,275.2699890136719,1166700,0,0,0.06689654895066188
2020-04-13,279.8800048828125,285.7900085449219,270.1099853515625,273.260009765625,1190100,0,0,-0.007301846653348876
