MMM,(['stat', 36.31342142674308], ['p', 1.3020891728599157e-08], ['desc', DescribeResult(nobs=252, minmax=(-0.09277357076179349, 0.1259864036101792), mean=7.003643299628736e-05, variance=0.0005598105394987896, skewness=0.031386379062576575, kurtosis=5.13850548232382)])
ABT,(['stat', 31.022990778523866], ['p', 1.8341850376729883e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.09785659186938356, 0.10936024203524708), mean=0.0012870801127538502, variance=0.0006165462761104334, skewness=0.26745783221514896, kurtosis=3.7361922098310716)])
ABBV,(['stat', 47.95934868785995], ['p', 3.8526517560165755e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.13002223001341784, 0.08717440407891064), mean=0.0012992199408307682, variance=0.00048741165133281053, skewness=-0.3340269287509242, kurtosis=6.5446658313502954)])
ABMD,(['stat', 25.170272928694942], ['p', 3.4225096358444285e-06], ['desc', DescribeResult(nobs=252, minmax=(-0.10031801904469417, 0.12978497979165904), mean=0.002743186704842871, variance=0.0007412886379439846, skewness=-0.2281789800224681, kurtosis=3.0033050161978903)])
ACN,(['stat', 39.59397503786922], ['p', 2.5250940713456187e-09], ['desc', DescribeResult(nobs=252, minmax=(-0.08389897170647886, 0.12857330235060127), mean=0.0011732608900153648, variance=0.0006936184634471393, skewness=0.4967473504084325, kurtosis=4.00990800582524)])
ATVI,(['stat', 19.496804241502026], ['p', 5.838788602351974e-05], ['desc', DescribeResult(nobs=252, minmax=(-0.10636863321708612, 0.09173442335705362), mean=0.0019409842249417438, variance=0.0006078617902511926, skewness=-0.0139318458056199, kurtosis=2.5447461618968186)])
ADBE,(['stat', 46.94040619796332], ['p', 6.412395563386778e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.1474515684670734, 0.17719298245614046), mean=0.0015829260809660615, variance=0.0009300175310378502, skewness=0.2836909491250637, kurtosis=6.599879050470543)])
AMD,(['stat', 23.380274080897948], ['p', 8.376025496139412e-06], ['desc', DescribeResult(nobs=252, minmax=(-0.14638954769627766, 0.1650159792078827), mean=0.0030117316042211372, variance=0.0014914652235497965, skewness=0.2756308375749516, kurtosis=2.627250534277665)])
AAP,(['stat', 77.44791808402309], ['p', 1.5219425904022286e-17], ['desc', DescribeResult(nobs=252, minmax=(-0.16219545769988775, 0.1318368125353615), mean=0.000814258072212439, variance=0.0008710749933142327, skewness=-0.9273609612341872, kurtosis=7.859906809578691)])
AES,(['stat', 54.95353323329346], ['p', 1.1667877956513157e-12], ['desc', DescribeResult(nobs=252, minmax=(-0.17301034221523326, 0.14958157388219395), mean=0.0019948305323326337, variance=0.0013633725581231211, skewness=-0.7228454743686212, kurtosis=5.061321545614939)])
AFL,(['stat', 88.7843941564676], ['p', 5.256706981986641e-20], ['desc', DescribeResult(nobs=252, minmax=(-0.1643124457354942, 0.2617657140166234), mean=0.0002724699981268872, variance=0.0013558090076217781, skewness=0.7888522326687273, kurtosis=13.669957682660517)])
A,(['stat', 28.924728218066047], ['p', 5.236909540131826e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.09941445981156738, 0.09839407076570761), mean=0.0016661721780171122, variance=0.0005361877048807176, skewness=-0.09742747340711229, kurtosis=3.8221995139702925)])
APD,(['stat', 39.393088039831454], ['p', 2.7918984627548713e-09], ['desc', DescribeResult(nobs=252, minmax=(-0.12604185053449624, 0.1372330903932255), mean=0.0012557068705938102, variance=0.0007808687244134811, skewness=-0.0976588137016445, kurtosis=5.65527601255444)])
AKAM,(['stat', 26.94297140037809], ['p', 1.4106136997901487e-06], ['desc', DescribeResult(nobs=252, minmax=(-0.08828073005440007, 0.09804362930029153), mean=0.0007075868128361642, variance=0.0005795831393280754, skewness=-0.23885154232767536, kurtosis=3.2226516480941605)])
ALK,(['stat', 35.96178803105316], ['p', 1.5523761055083e-08], ['desc', DescribeResult(nobs=252, minmax=(-0.23238509309822775, 0.20307944325106186), mean=0.0004581184374880003, variance=0.0025599933469726216, skewness=-0.05713781361378997, kurtosis=5.055150730214498)])
ALB,(['stat', 29.26835509672357], ['p', 4.410191456093438e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.15560691113966718, 0.1373812340023446), mean=0.004050753041931495, variance=0.0015466081862422472, skewness=-0.4079282043471789, kurtosis=2.9310592347577034)])
ARE,(['stat', 67.30839458018315], ['p', 2.4219647836208723e-15], ['desc', DescribeResult(nobs=252, minmax=(-0.1721268335864966, 0.12695777089850835), mean=0.0005744277711703643, variance=0.0007129813665524724, skewness=-0.5225970541905629, kurtosis=10.000626140038571)])
ALXN,(['stat', 236.5536076564615], ['p', 4.295727858107302e-52], ['desc', DescribeResult(nobs=252, minmax=(-0.08427835551522733, 0.2920316847522664), mean=0.0017572876485414672, variance=0.0009428469626855411, skewness=3.4491341634757706, kurtosis=30.871700640130086)])
ALGN,(['stat', 149.61924830531296], ['p', 3.2403583195629086e-33], ['desc', DescribeResult(nobs=252, minmax=(-0.17439249954351388, 0.3496620537845849), mean=0.0036936907728421365, variance=0.0020173615471796645, skewness=1.923221068689092, kurtosis=15.979635377392736)])
ALLE,(['stat', 33.96265876958886], ['p', 4.217958989012873e-08], ['desc', DescribeResult(nobs=252, minmax=(-0.12359846784535589, 0.12434538626803127), mean=6.74668982230349e-06, variance=0.0008362747628027075, skewness=-0.2434262096421669, kurtosis=4.286383563329117)])
LNT,(['stat', 29.412239362104657], ['p', 4.1040568901963005e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.09615812382667766, 0.10113535549084585), mean=-0.00013617134648046268, variance=0.0006024802493565882, skewness=0.159078202292969, kurtosis=3.7907297600472107)])
ALL,(['stat', 51.21320211505307], ['p', 7.571718516548069e-12], ['desc', DescribeResult(nobs=252, minmax=(-0.14089147326138562, 0.10704050757767614), mean=0.00018273297339551392, variance=0.0007358519393402775, skewness=-0.5932807581414625, kurtosis=5.391877649876006)])
GOOGL,(['stat', 30.474261094170387], ['p', 2.413227598209597e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.11634151980939555, 0.09241146704227998), mean=0.0009914637889350268, variance=0.0005926734077144452, skewness=-0.2242471636180194, kurtosis=3.7892499524921854)])
GOOG,(['stat', 28.31392533343607], ['p', 7.107375049096664e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.11100819573363885, 0.09401650633289482), mean=0.0010041443806105043, variance=0.0005875925282349518, skewness=-0.18670942997365342, kurtosis=3.5609780246562748)])
MO,(['stat', 26.82577462853712], ['p', 1.4957432547925422e-06], ['desc', DescribeResult(nobs=252, minmax=(-0.10029646950683968, 0.10021969467134517), mean=-0.00023834448345996795, variance=0.0005245510337383502, skewness=-0.17031921368823305, kurtosis=3.3784347332311597)])
AMZN,(['stat', 8.06291954334721], ['p', 0.01774840241902026], ['desc', DescribeResult(nobs=252, minmax=(-0.07922080838749879, 0.0792952391518491), mean=0.002291745939117416, variance=0.0005947071088626818, skewness=0.10196000424701622, kurtosis=1.1194225430445268)])
AMCR,(['stat', 52.722933495461696], ['p', 3.559266086728688e-12], ['desc', DescribeResult(nobs=252, minmax=(-0.16145182032002858, 0.16275434892698648), mean=0.0007121483862353944, variance=0.0009087228449330736, skewness=-0.113633065129318, kurtosis=8.740003300739756)])
AEE,(['stat', 61.85254887796802], ['p', 3.705865604604366e-14], ['desc', DescribeResult(nobs=252, minmax=(-0.13394619860103285, 0.17801368034103193), mean=0.00022547775143446134, variance=0.0007499928878453487, skewness=0.221358211753803, kurtosis=11.058744522669343)])
AAL,(['stat', 110.86170924504208], ['p', 8.446673560038232e-25], ['desc', DescribeResult(nobs=252, minmax=(-0.2522464906560117, 0.41097036076894633), mean=-0.00023070449277251944, variance=0.004338546443332267, skewness=1.4945671072081805, kurtosis=9.271496842787293)])
AEP,(['stat', 44.01463564622786], ['p', 2.769129765684354e-10], ['desc', DescribeResult(nobs=252, minmax=(-0.11582735888940898, 0.11682578602786009), mean=-0.0003290468129437775, variance=0.0005959919316172089, skewness=0.13812972416132085, kurtosis=6.52982291229565)])
AXP,(['stat', 96.9378362713618], ['p', 8.916949556988995e-22], ['desc', DescribeResult(nobs=252, minmax=(-0.14818674414036392, 0.2188225977571434), mean=0.0006038799211295257, variance=0.0016446134659169225, skewness=1.2640218268662535, kurtosis=8.599385693499412)])
AIG,(['stat', 35.95152214967514], ['p', 1.5603648453087078e-08], ['desc', DescribeResult(nobs=252, minmax=(-0.2084489077721039, 0.18808307515001976), mean=0.0002585570421661318, variance=0.0020292716660409824, skewness=-0.36648856471620667, kurtosis=4.110566278736009)])
AMT,(['stat', 42.94003974819311], ['p', 4.739023282093386e-10], ['desc', DescribeResult(nobs=252, minmax=(-0.15163815138482195, 0.12221949054386005), mean=0.00024290563637957167, variance=0.000773697050683736, skewness=0.17750984001251358, kurtosis=6.183348015099073)])
AWK,(['stat', 55.99203775742672], ['p', 6.941982039470071e-13], ['desc', DescribeResult(nobs=252, minmax=(-0.12534750014484763, 0.16572681612658635), mean=0.001287125530657117, variance=0.0007333872276347915, skewness=0.2930765868535368, kurtosis=8.786696705943084)])
AMP,(['stat', 54.25846539623802], ['p', 1.651672511422728e-12], ['desc', DescribeResult(nobs=252, minmax=(-0.2382212724742223, 0.2263579110195082), mean=0.0018183689852299216, variance=0.0019052113116988267, skewness=0.21888675355517062, kurtosis=8.74672712454081)])
ABC,(['stat', 51.69137359752196], ['p', 5.961572670552749e-12], ['desc', DescribeResult(nobs=252, minmax=(-0.10555548540153536, 0.11815118706850258), mean=0.0010398689252128007, variance=0.0007192140721749488, skewness=0.6957114655890035, kurtosis=4.69141145852999)])
AME,(['stat', 71.48334149638796], ['p', 3.0032370983402124e-16], ['desc', DescribeResult(nobs=252, minmax=(-0.16166215017960384, 0.1671535097370811), mean=0.0011462303498594433, variance=0.0008552665066397117, skewness=-0.588347520576803, kurtosis=10.515003958923746)])
AMGN,(['stat', 47.16582777823146], ['p', 5.7288919428687296e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.08260766615858661, 0.10897720030005442), mean=0.00048023322152972983, variance=0.000589583283284518, skewness=0.7318851861225275, kurtosis=3.69226049684908)])
APH,(['stat', 53.589856271492245], ['p', 2.307334541539637e-12], ['desc', DescribeResult(nobs=252, minmax=(-0.1387524753223185, 0.10114010145841568), mean=0.0011027224285801657, variance=0.0006696646474072527, skewness=-0.6764281693351285, kurtosis=5.1848759229096615)])
ADI,(['stat', 45.82025403241176], ['p', 1.1226858711923035e-10], ['desc', DescribeResult(nobs=252, minmax=(-0.16614891949073451, 0.14697749345179267), mean=0.0016971981801897254, variance=0.0009990001671931251, skewness=-0.2094100743591736, kurtosis=6.692768337641267)])
ANSS,(['stat', 48.139849123118296], ['p', 3.5201776650975286e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.12348140468749846, 0.15142321450867047), mean=0.001661432403147192, variance=0.0008596173413217904, skewness=0.46096950628614547, kurtosis=5.762095525137051)])
ANTM,(['stat', 40.83693613289155], ['p', 1.3563506811499625e-09], ['desc', DescribeResult(nobs=252, minmax=(-0.17126578893616395, 0.15617455109683887), mean=0.0009171710202750688, variance=0.00119659004835063, skewness=0.2187646803661216, kurtosis=5.613250903342337)])
AON,(['stat', 65.04320558350318], ['p', 7.51704871756248e-15], ['desc', DescribeResult(nobs=252, minmax=(-0.16703139178231285, 0.1413251567443654), mean=0.00031392112603991846, variance=0.0006371756478093059, skewness=-0.15883615810709528, kurtosis=12.573790372961646)])
AOS,(['stat', 10.318708500874912], ['p', 0.0057454085830950415], ['desc', DescribeResult(nobs=252, minmax=(-0.08669432167620339, 0.07646628590337756), mean=0.0010723637967927084, variance=0.0005800132920127387, skewness=-0.174379763165478, kurtosis=1.2788111900104235)])
APA,(['stat', 110.39400280490982], ['p', 1.0672025967387093e-24], ['desc', DescribeResult(nobs=252, minmax=(-0.5386473201248554, 0.29466354127807826), mean=0.0007091351105459468, variance=0.005732087983710368, skewness=-1.322777214953073, kurtosis=11.909253898789903)])
AAPL,(['stat', 26.12863647650142], ['p', 2.119525662855789e-06], ['desc', DescribeResult(nobs=252, minmax=(-0.12864692914742826, 0.11980825621787017), mean=0.0023712819235675855, variance=0.0008777883196328377, skewness=-0.02520146583033182, kurtosis=3.4583663648758787)])
AMAT,(['stat', 53.05971964627441], ['p', 3.007656766788986e-12], ['desc', DescribeResult(nobs=252, minmax=(-0.2035763641496905, 0.1281312151950147), mean=0.002716261561174783, variance=0.0014136099787299774, skewness=-0.6823685243365758, kurtosis=5.039680156395475)])
APTV,(['stat', 110.409751251113], ['p', 1.0588322038173957e-24], ['desc', DescribeResult(nobs=252, minmax=(-0.3055268415784145, 0.20953808506286187), mean=0.0028743484378063607, variance=0.002065474130387566, skewness=-1.2975758791954821, kurtosis=12.381853203364932)])
ADM,(['stat', 25.004690228654567], ['p', 3.7179239838048133e-06], ['desc', DescribeResult(nobs=252, minmax=(-0.10065588846314477, 0.10269535017350329), mean=0.001013499573422235, variance=0.0006453327518577791, skewness=-0.07507417202841449, kurtosis=3.2627151610579084)])
ANET,(['stat', 43.504587505546], ['p', 3.573541701164258e-10], ['desc', DescribeResult(nobs=252, minmax=(-0.11156371256812003, 0.15440501170603027), mean=0.001943559357486761, variance=0.00096682305615623, skewness=0.3780113227812241, kurtosis=5.3774719808202995)])
AJG,(['stat', 74.91761369271535], ['p', 5.3932044966542015e-17], ['desc', DescribeResult(nobs=252, minmax=(-0.15235186249050436, 0.13232715164240694), mean=0.0011516226830075075, variance=0.0006551989805698024, skewness=-0.7632460149554653, kurtosis=9.262582921114213)])
AIZ,(['stat', 86.87453594479813], ['p', 1.3659481385258637e-19], ['desc', DescribeResult(nobs=252, minmax=(-0.19735956013885203, 0.14148392694750256), mean=0.0008172624644410948, variance=0.0009473917413890012, skewness=-0.9664618575248408, kurtosis=9.967488510850902)])
T,(['stat', 30.953480609470102], ['p', 1.8990530101724065e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.09241020512770048, 0.10022343611377149), mean=-0.0005178110356316712, variance=0.0005109333638148546, skewness=0.011057796638037617, kurtosis=4.2116721917421724)])
ATO,(['stat', 61.51375734708451], ['p', 4.389927132256027e-14], ['desc', DescribeResult(nobs=252, minmax=(-0.1249619574181694, 0.15382155513330487), mean=-0.0005241664059652593, variance=0.0007007231947339932, skewness=0.5919921836451455, kurtosis=7.646103935091153)])
ADSK,(['stat', 31.993955541674065], ['p', 1.128757962650739e-07], ['desc', DescribeResult(nobs=252, minmax=(-0.12002733075909244, 0.1619852851418888), mean=0.002383048563065597, variance=0.0010197883094903778, skewness=-0.11620766909253188, kurtosis=4.285815422117816)])
ADP,(['stat', 47.304047232907294], ['p', 5.3463410256097243e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.15252605921389562, 0.11803573453728267), mean=0.00017189077819248393, variance=0.000799282259931358, skewness=-0.29558906058777235, kurtosis=6.6174231301267685)])
AZO,(['stat', 102.57364016863944], ['p', 5.32619476021026e-23], ['desc', DescribeResult(nobs=252, minmax=(-0.1593711714787006, 0.11782033879652665), mean=0.000703079427792475, variance=0.0006855997384858022, skewness=-1.2261904718036707, kurtosis=10.872739321673112)])
AVB,(['stat', 40.599963053010384], ['p', 1.5269683673082601e-09], ['desc', DescribeResult(nobs=252, minmax=(-0.15370672538543872, 0.11314632953764159), mean=-0.00039469291720152093, variance=0.0010207343583142486, skewness=-0.27630912568302457, kurtosis=5.336312419947271)])
AVY,(['stat', 97.94260282035196], ['p', 5.395528935450063e-22], ['desc', DescribeResult(nobs=252, minmax=(-0.13270932634197286, 0.22869834883751095), mean=0.0012360040330714665, variance=0.0009609046074633284, skewness=1.024812177914776, kurtosis=12.815905355285317)])
BKR,(['stat', 38.710519422785566], ['p', 3.9275119176476084e-09], ['desc', DescribeResult(nobs=252, minmax=(-0.22263680332748126, 0.20578776400794596), mean=0.00104734340627276, variance=0.0019804734879808987, skewness=0.12125623214885767, kurtosis=5.477626543312958)])
BLL,(['stat', 44.31306438324819], ['p', 2.385285296395277e-10], ['desc', DescribeResult(nobs=252, minmax=(-0.09432342716022013, 0.12090882705048855), mean=0.0014020062765327972, variance=0.0006217587752542066, skewness=0.28080265957936007, kurtosis=6.052284737629575)])
BAC,(['stat', 42.554579361424985], ['p', 5.746329190132144e-10], ['desc', DescribeResult(nobs=252, minmax=(-0.15397365182949596, 0.1779621302096297), mean=0.000592455956410747, variance=0.0013880143627761654, skewness=0.3837865833496773, kurtosis=5.166035979341267)])
BK,(['stat', 44.492756803361175], ['p', 2.180321903944553e-10], ['desc', DescribeResult(nobs=252, minmax=(-0.14503375364939186, 0.15616536290094296), mean=0.000498901948271319, variance=0.0009426275440543646, skewness=0.17136155608814016, kurtosis=6.536755158474813)])
BAX,(['stat', 44.4935744603153], ['p', 2.1794307084465131e-10], ['desc', DescribeResult(nobs=252, minmax=(-0.11631057599971872, 0.12491259735810134), mean=-0.00014886441616805668, variance=0.0005443722970645863, skewness=0.1518084176840824, kurtosis=6.597172786267608)])
BDX,(['stat', 52.304121762929796], ['p', 4.388380421207835e-12], ['desc', DescribeResult(nobs=252, minmax=(-0.11797620780598361, 0.11374028379343026), mean=9.782494970436794e-05, variance=0.0005319821490049725, skewness=-0.4944948114455635, kurtosis=6.3811121827388)])
BBY,(['stat', 38.301871665352316], ['p', 4.817860762185741e-09], ['desc', DescribeResult(nobs=252, minmax=(-0.15251640374688702, 0.16788322453460358), mean=0.0016264178222443, variance=0.0010760487842608616, skewness=0.12132457121094258, kurtosis=5.398904601634284)])
BIO,(['stat', 15.269856911968299], ['p', 0.00048327318877199575], ['desc', DescribeResult(nobs=252, minmax=(-0.09867120837655219, 0.08826309601851778), mean=0.002163106932588847, variance=0.0006785838855164334, skewness=-0.07696443694034782, kurtosis=1.9843396808477003)])
BIIB,(['stat', 241.56376477424283], ['p', 3.5082857980635796e-53], ['desc', DescribeResult(nobs=252, minmax=(-0.2816661632982739, 0.4397393335959552), mean=0.0007575695608945088, variance=0.0019233252815582288, skewness=3.254623628791191, kurtosis=46.0358890184635)])
BLK,(['stat', 35.94645539486135], ['p', 1.5643228497970246e-08], ['desc', DescribeResult(nobs=252, minmax=(-0.1365460303771272, 0.13523912147153316), mean=0.001782945900831091, variance=0.0009221401859777719, skewness=-0.08195994344963331, kurtosis=5.024464948911)])
BA,(['stat', 37.85416098293559], ['p', 6.026614109436885e-09], ['desc', DescribeResult(nobs=252, minmax=(-0.2384841190698378, 0.24318605379189218), mean=-0.00037372685075498995, variance=0.003063558108576359, skewness=0.2865987175730252, kurtosis=4.789020944668127)])
BKNG,(['stat', 58.61472628362581], ['p', 1.8705697565546176e-13], ['desc', DescribeResult(nobs=252, minmax=(-0.11237433316182843, 0.18752066726524186), mean=0.0006625507674782474, variance=0.0010979941440841564, skewness=0.7322039531146757, kurtosis=5.679704452207153)])
BWA,(['stat', 22.333419476076706], ['p', 1.4137075577184004e-05], ['desc', DescribeResult(nobs=252, minmax=(-0.11484973582814417, 0.1615782441690743), mean=0.0002679251710677724, variance=0.0010313880358787772, skewness=-0.0006895479253524935, kurtosis=2.9235854355188176)])
BXP,(['stat', 46.77974318465091], ['p', 6.948768367818482e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.17196304900545978, 0.20923570605271458), mean=-0.0006585242385083954, variance=0.001357928987623072, skewness=0.24033536166413916, kurtosis=6.775618354933705)])
BSX,(['stat', 47.394050305972996], ['p', 5.1110807041544363e-11], ['desc', DescribeResult(nobs=252, minmax=(-0.14785036570590893, 0.09252804478156285), mean=-0.0002933703359648424, variance=0.0007777993794181049, skewness=-0.7228839161248205, kurtosis=3.788790464079108)])
BMY,(['stat', 23.56026506188834], ['p', 7.655145430385986e-06], ['desc', DescribeResult(nobs=252, minmax=(-0.07117763822410161, 0.0684193087828402), mean=0.00028687084907537516, variance=0.00035480166345000833, skewness=-0.09191303362231681, kurtosis=3.041247793217634)])
AVGO,(['stat', 86.83028917700487], ['p', 1.3965042900285305e-19], ['desc', DescribeResult(nobs=252, minmax=(-0.19912895189268554, 0.15833683190607095), mean=0.0021918960173584394, variance=0.0010443986043843561, skewness=-0.9377179838872128, kurtosis=10.392699040835064)])
